# t_sec x y z
2.02652 0.200669 0.691194 0.0665843
2.03732 0.184176 0.682947 0.0621555
2.04811 0.152716 0.667675 0.0620028
2.05891 0.12538 0.652556 0.0624609
2.06971 0.1237 0.676533 0.0670424
2.0805 0.153938 0.744186 0.0702495
2.0913 0.213039 0.805578 0.0717766
2.10209 0.222049 0.896139 0.0784961
2.11289 0.212276 0.956614 0.0839939
2.12368 0.208152 0.977078 0.0795651
2.13448 0.202807 0.982729 0.081245
2.14527 0.171348 0.901026 0.0890335
2.15607 0.15516 0.856127 0.101709
2.16686 0.142179 0.801455 0.102473
2.17766 0.148746 0.786488 0.0975856
2.18846 0.158061 0.838565 0.0998764
2.19925 0.170737 0.985936 0.104152
2.21005 0.165239 1.1188 0.11133
2.22084 0.160047 1.15515 0.102931
2.23164 0.159283 1.10292 0.0885754
2.24243 0.148746 1.01495 0.0536034
2.25323 0.149051 0.950506 0.0213803
2.26402 0.151494 0.893848 0.0132863
2.27482 0.151494 0.827264 0.00397062
2.28561 0.150731 0.804662 0.00870482
2.29641 0.134696 0.872009 0.0197004
2.3072 0.119271 0.970206 0.0177151
2.318 0.0997237 1.01572 0.000610865
2.3288 0.0713185 0.985936 -0.0274889
2.33959 0.0358883 0.835205 -0.0348193
2.35039 0.0200058 0.504727 0.030696
2.36118 0.0383318 0.518777 0.0143553
2.37198 -0.00274889 0.548557 0.0218384
2.38277 -0.105985 0.792444 0.0418442
2.39357 -0.124616 0.925307 0.0507018
2.40436 -0.0577267 0.769231 0.0416915
2.41516 -0.0378736 0.663552 0.0233656
2.42595 -0.0334448 0.518777 0.0184787
2.43675 -0.0125227 0.410501 0.0169515
2.44755 0.00733038 0.452193 0.0222966
2.45834 0.00122173 0.620333 0.0375682
2.46914 0.0210748 0.879645 0.0560468
2.47993 0.0065668 1.03923 0.0551305
2.49073 -0.00198531 0.888197 0.0290161
2.50152 0.0210748 0.556803 0.0181732
2.51232 0.0332921 0.300698 0.00595593
2.52311 0.03711 0.193797 0.0038179
2.53391 0.00641408 0.377973 0.0180205
2.5447 -0.0284052 0.649197 0.0387899
2.5555 0.0520762 0.835663 0.0548251
2.5663 0.0907134 1.14354 0.0675006
2.57709 0.069944 1.29259 0.0658207
2.58789 0.076969 1.29748 0.0461203
2.59868 0.0760527 1.19409 0.0308487
2.60948 0.0684169 0.947604 0.0311541
2.62027 0.090408 0.742353 0.0238237
2.63107 0.105985 0.655611 0.0233656
2.64186 0.119271 0.802676 0.0343611
2.65266 0.120646 1.10612 0.056505
2.66346 0.110414 1.41247 0.0702495
2.67425 0.0931569 1.5122 0.0620028
2.68505 0.0847575 1.39369 0.0384845
2.70664 0.114384 0.892015 0.0198531
2.71743 0.127365 0.74159 0.0213803
2.72823 0.138055 0.772286 0.0233656
2.73902 0.151494 0.941953 0.033903
2.74982 0.148593 1.16767 0.0384845
2.76061 0.137292 1.35872 0.0426078
2.77141 0.130725 1.38315 0.0357356
2.7822 0.120188 1.21318 0.0184787
2.793 0.109956 0.962723 -0.00702494
2.8038 0.0928514 0.684932 -0.00702494
2.81459 0.0907134 0.551764 0.00503963
2.82539 0.0626136 0.598342 0.00748309
2.83618 0.0180205 0.751058 0.019395
2.84698 -0.00855211 0.898735 0.0241292
2.85777 0.00122173 1.01052 0.0250455
2.86857 -0.013439 1.13544 0.0186314
2.87936 -0.0412334 1.25319 0.0174096
2.89016 -0.0729983 1.28007 0.0160352
2.90096 -0.0884227 1.21532 0.0177151
2.91175 -0.083383 1.13453 0.020464
2.92255 -0.0980438 1.04672 0.0213803
2.93334 -0.108734 0.951269 0.0201585
2.94414 -0.105374 0.863916 0.0192422
2.95493 -0.0980438 0.790001 0.020464
2.96573 -0.0994182 0.767399 0.0218384
2.97652 -0.0908661 0.785725 0.0210748
2.98732 -0.0920879 0.760832 0.0181732
2.99811 -0.0766635 0.684627 0.0172569
3.00891 -0.076969 0.602771 0.0160352
3.01971 -0.0601702 0.589332 0.01237
3.0305 -0.047342 0.60552 0.0180205
3.0413 -0.0358883 0.563217 0.0148135
3.05209 -0.0302378 0.546877 0.0149662
3.06289 -0.0285579 0.548251 0.0201585
3.07368 -0.0261145 0.546266 0.0209221
3.08448 -0.0256563 0.521831 0.0152716
3.09527 -0.0284052 0.515264 0.00916297
3.10607 -0.0259618 0.51557 0.0100793
3.11686 0.0334448 0.376293 0.0241292
3.12766 0.00244346 0.552222 0.0125227
3.13846 -0.0167988 0.552374 0.0241292
3.14925 0.00901026 0.483958 0.0157298
3.16005 0.0239764 0.508392 0.0174096
3.17084 0.0285579 0.565203 0.0201585
3.18164 0.0363465 0.540768 0.0197004
3.19243 0.0479529 0.52794 0.0161879
3.20323 0.03711 0.550236 0.0157298
3.21402 0.00763581 0.579253 0.019395
3.22482 -0.0065668 0.57742 0.0213803
3.23562 -0.00442877 0.590859 0.0210748
3.24641 -0.00167988 0.602465 0.0177151
3.25721 -0.00458149 0.605672 0.0167988
3.268 -0.000305432 0.58979 0.0169515
3.2788 0.00824667 0.587805 0.0174096
